Palabra clave;Memoria de trabajo;;ELECTRODOMESTICO;MODELO;CARACTERISTICA;;
Computadora;Notebook;;NOTEBOOK;HP ELITE A9;TRABAJAR;;
Compu;;;;DELL INSPIRON 3585;TRABAJAR;;
Laptop;;;;LENOVO V330;TRABAJAR;;
Netbook;;;;HP OMEN 35000;JUGAR;;
Ordenador;;;;ASUS VIVOBOOK E406;TRABAJAR;;
Trabajar;Trabajar;;;ASUS FX504;JUGAR;;
Trabajo;;;;DELL ALIENWARE 17;JUGAR;;
Trabajando;;;;ACER ASPIRE 3;TRABAJAR;;
Oficina;;;;ACER PREDATOR HELIOS 300;JUGAR;;
Laburo;;;SMART TV;LG 43LK5700;" 43"" FHD";PELICULAS;
Laburar;;;;LG 32LJ600B;" 32"" HD";TELE DE CABLE;ECONOMICO
Laburando;;;;SAMSUNG UN49K5500;" FHD 49""";PELICULAS;
Estudiar;;;;SAMSUNG J4300 ;"HD 32""";TELE DE CABLE;ECONOMICO
Estudiando;;;;NOBLEX EA43X5100;"43"" FHD";PELICULAS;
Estudios;;;;NOBLEX DI49X6500;"49"" 4K";PORNO;
Estudio;;;;TCL L32S6500;"32"" HD";TELE DE CABLE;ECONOMICO
Facultad;;;;TCL L49S62;"49"" FHD";PELICULAS;
Escuela;;;;PHILIPS 55OLED873/77;"55"" 4K";PORNO;
Universidad;;;;PHILIPS 32PHG5102/77-5813;"32"" HD";TELE DE CABLE;ECONOMICO
Fotos;Camara;;SMARTPHONE;XIAOMI MI 8 PRO;"6,21"" 12MP";CAMARA;
Cámara;;;;XIAOMI REDMI NOTE 7;"6,3"" 48MP";USO NORMAL;ECONOMICO
Camara;;;;SAMSUNG GALAXY NOTE 9 ;"6,4"" 12MP";CAMARA;
Imágenes;;;;SAMSUNG GALAXY A50;"6,4"" 25MP";USO NORMAL;ECONOMICO
Imagenes;;;;ONEPLUS 6T;"6,41"" 20MP";CAMARA;
Imagen;;;;ONEPLUS 7 PRO;"6,67"" 48MP";CAMARA;
Retrato;;;;HUAWEI MATE 20 PRO;"6,39"" 40MP";CAMARA;
Retratos;;;;HUAWEI P20 LITE;"6,4"" 16MP";USO NORMAL;ECONOMICO
Foto;;;;MOTO G7 PLUS;"6,2"" 16MP";CAMARA;
Celu;Smartphone;;;MOTO E5 PLUS;6,0 12MP;USO NORMAL;ECONOMICO
Celular;;;TABLET;SAMSUNG SM-T560;"10"" HD";;
Smartphone;;;;SAMSUNG SM-T580;"10"" FHD";;
Teléfono;;;;GADNIC TAB038BK;"7"" 1024X600";;
Telefono;;;;GADNIC FENIX PHONE;"10"" FHD";;
Celulares;;;;LENOVO TB3-710F;"7"" 1024X600";;
Teléfonos;;;;LENOVO YOGA TAB 3;"8"" HD";;
Telefonos;;;;IPAD PRO;"13"" 4K";;
Tel;;;;IPAD 2;"10"" FHD+";;
Cel;;;;HUAWEI BG2-W09;"7"" 1024X600";;
Smartphones;;;;HUAWEI T3 10;"10"" HD";;
Jueguito;Jugar;;;;;;
Jueguitos;;;;;;;
Familia;;;;;;;
Niño;;;;;;;
Niños;;;;;;;
Chicos;;;;;;;
Hijos;;;;;;;
Hijo;;;;;;;
Gamer;;;;;;;
Gaming;;;;;;;
Jugar;;;;;;;
Juego;;;;;;;
Juega;;;;;;;
Juegan;;;;;;;
Jueguen;;;;;;;
Jugando;;;;;;;
Pelis;Pelicula;;;;;;
Peli;;;;;;;
Película;;;;;;;
Películas;;;;;;;
Pelicula;;;;;;;
Peliculas;;;;;;;
Netflix;;;;;;;
Barato;Barato;;;;;;
Económico;;;;;;;
Economico;;;;;;;
Baratos;;;;;;;
Económicos;;;;;;;
Economicos;;;;;;;
Whatsapp;;;;;;;
Mensajes;;;;;;;
Mensaje;;;;;;;
Llamar;;;;;;;
Llamadas;;;;;;;
Llamada;;;;;;;
Llamo;;;;;;;
Llaman;;;;;;;
Fútbol;;;;;;;
Futbol;;;;;;;
Partido;;;;;;;
Partidos;;;;;;;
Selección;;;;;;;
Selección;;;;;;;
